seq,ticker,ponderacao,acoes,preco
2,ITUB4.SA,11.334443,313.24486250,51.3100
3,VALE3.SA,9.372869,314.87849340,42.2100
4,BBDC4.SA,8.991444,322.78855830,39.5000
5,ABEV3.SA,6.956878,409.84920530,24.0700
6,PETR4.SA,6.233735,412.87394030,21.4100
7,PETR3.SA,4.462225,270.87216520,23.3600
8,ITSA4.SA,3.844172,395.29775700,13.7900
9,B3SA3.SA,3.831144,203.54748540,26.6900
10,BBAS3.SA,3.548144,122.62684760,41.0300
11,UGPA3.SA,2.042123,40.83184650,70.9200
12,LREN3.SA,1.703745,70.33374440,34.3500
13,BBDC3.SA,1.685049,62.11209220,38.4700
14,CIEL3.SA,1.632084,111.85822070,20.6900
15,VIVT4.SA,1.475396,41.51106640,50.4000
16,COGN3.SA,1.416505,147.69477420,13.6000
17,BBSE3.SA,1.386230,67.15808240,29.2700
18,BRFS3.SA,1.239250,76.97307790,22.8300
19,RADL3.SA,1.117725,21.18942260,74.8000
20,EMBR3.SA,1.113742,73.28636980,21.5500
21,SUZB3.SA,1.099649,46.74270220,33.3600
22,GGBR4.SA,1.079944,98.79963500,15.5000
23,FIBR3.SA,1.052566,22.95203970,65.0300
24,SANB11.SA,1.050555,37.32698280,39.9100
25,RAIL3.SA,1.034147,111.51727110,13.1500
26,JBSS3.SA,1.028692,156.01250390,9.3500
27,HYPE3.SA,1.012526,39.70669720,36.1600
28,RENT3.SA,1.005970,49.66911800,28.7200
29,EQTL3.SA,0.999005,19.81287140,71.5000
30,CCRO3.SA,0.983490,111.56955560,12.5000
31,WEGE3.SA,0.908014,56.94788740,22.6100
32,LAME4.SA,0.906404,68.22236230,18.8400
33,BRKM5.SA,0.895642,26.45933660,48.0000
34,SBSP3.SA,0.839156,33.99855840,35.0000
35,TIMS3.SA,0.820834,80.83113150,14.4000
36,YDUQ3.SA,0.760445,30.83600740,34.9700
37,PCAR4.SA,0.729026,15.53390080,66.5500
38,KLBN11.SA,0.715585,49.02035160,20.7000
39,BRML3.SA,0.688879,83.84990760,11.6500
40,FLRY3.SA,0.587565,30.69954820,27.1400
41,CMIG4.SA,0.582369,96.47407290,8.5600
42,EGIE3.SA,0.562989,20.38652310,39.1600
43,BRAP4.SA,0.491928,22.15209160,31.4900
44,MGLU3.SA,0.467704,6.77375480,97.9100
45,CSAN3.SA,0.449805,15.36586550,41.5100
46,MULT3.SA,0.432805,8.93610340,68.6800
47,ELET3.SA,0.399385,26.96858400,21.0000
48,USIM5.SA,0.393486,51.09659300,10.9200
49,NATU3.SA,0.388635,17.22177050,32.0000
50,ELET6.SA,0.384036,22.59647660,24.1000
51,QUAL3.SA,0.381036,24.25138950,22.2800
52,CSNA3.SA,0.373103,60.12180280,8.8000
53,MRVE3.SA,0.329465,28.75023580,16.2500
54,VVAR11.SA,0.292293,13.67018980,30.3200
55,GOAU4.SA,0.290640,57.72213130,7.1400
56,SMLS3.SA,0.286916,5.85404280,69.5000
57,TAEE11.SA,0.282834,18.45682500,21.7300
58,SAPR11.SA,0.280481,6.62884120,60.0000
59,ENBR3.SA,0.277114,29.52337830,13.3100
60,CYRE3.SA,0.264061,24.48960430,15.2900
61,IGTA3.SA,0.239769,8.66019490,39.2600
62,CPLE6.SA,0.185781,10.10136620,26.0800
63,MRFG3.SA,0.169727,40.51828340,5.9400
64,ECOR3.SA,0.114850,18.61268590,8.7500
65,CPFE3.SA,0.093793,5.33926550,24.9100
