seq,ticker,ponderacao,acoes,preco
2,VALE5.SA,8.851162,139.59226605,31.9200
3,PETR4.SA,7.675369,230.67917444,16.7500
4,ITUB4.SA,5.050936,80.66954460,31.5200
5,BBDC4.SA,3.962922,68.91137957,28.9500
6,BBAS3.SA,3.018514,63.31490767,24.0000
7,ITSA4.SA,2.910724,166.89005297,8.7800
8,CSNA3.SA,2.794564,100.20075233,14.0400
9,PETR3.SA,2.760937,87.85653046,15.8200
10,B3SA3.SA,2.699279,128.43576817,10.5800
11,USIM5.SA,2.685899,100.75373111,13.4200
12,VALE3.SA,2.655656,38.40534983,34.8100
13,GGBR4.SA,2.554394,70.49964751,18.2400
14,CIEL3.SA,1.875562,14.28197193,66.1100
15,ABEV3.SA,1.780249,51.53534579,17.3900
16,CMIG4.SA,1.716621,62.75731785,13.7700
17,CCRO3.SA,1.666542,48.18828231,17.4100
18,GFSA3.SA,1.665007,257.90312376,3.2500
19,PDGR3.SA,1.614901,481.04225390,1.6900
20,BRML3.SA,1.435193,42.44970956,17.0200
21,TIMS3.SA,1.429496,59.37510154,12.1200
22,HYPE3.SA,1.391778,40.10523648,17.4700
23,OIBR4.SA,1.372231,197.37084394,3.5000
24,BRFS3.SA,1.261247,13.08319477,48.5300
25,MRVE3.SA,1.257578,80.54457815,7.8600
26,CYRE3.SA,1.117443,40.06656533,14.0400
27,JBSS3.SA,1.117307,65.40303989,8.6000
28,SANB11.SA,1.099801,40.56071006,13.6500
29,SBSP3.SA,1.059885,20.55314090,25.9600
30,NATU3.SA,0.989353,12.36782937,40.2700
31,SUZB5.SA,0.972507,52.13760009,9.3900
32,HGTX3.SA,0.938012,16.06692200,29.3900
33,LREN3.SA,0.936347,7.98929721,59.0000
34,VIVT4.SA,0.899623,10.24386820,44.2100
35,BRKM5.SA,0.890983,21.97608750,20.4100
36,PCAR4.SA,0.886815,4.30712913,103.6500
37,CTIP3.SA,0.883788,18.78048334,23.6900
38,KLBN4.SA,0.872904,36.64977013,11.9900
39,FIBR3.SA,0.870703,15.85253605,27.6500
40,LAME4.SA,0.866804,28.31666285,15.4100
41,BBDC3.SA,0.865076,13.72054894,31.7400
42,COGN3.SA,0.860948,11.28676829,38.4000
43,DASA3.SA,0.840199,29.45449968,14.3600
44,GOLL4.SA,0.828473,41.17112821,10.1300
45,EMBR3.SA,0.817490,21.43408547,19.2000
46,UGPA3.SA,0.816520,7.54628551,54.4700
47,BRPR3.SA,0.810861,22.45309959,18.1800
48,BRAP4.SA,0.778615,16.23714557,24.1400
49,ELET6.SA,0.748958,39.03052268,9.6600
50,AEDU3.SA,0.734826,25.42410778,14.5500
51,RENT3.SA,0.722710,11.10904750,32.7500
52,CSAN3.SA,0.721026,9.53937675,38.0500
53,ENBR3.SA,0.714280,32.48213847,11.0700
54,ELPL4.SA,0.700680,41.49778457,8.5000
55,ELET3.SA,0.682790,62.04424607,5.5400
56,DXCO3.SA,0.650281,26.02223526,12.5800
57,CRUZ3.SA,0.649724,13.93605021,23.4700
58,GOAU4.SA,0.633879,13.90424534,22.9500
59,RSID3.SA,0.628373,164.75552435,1.9200
60,CESP6.SA,0.538427,12.15475451,22.3000
61,ALLL3.SA,0.529091,42.27793336,6.3000
62,LIGT3.SA,0.506172,11.77510539,21.6400
63,CPFE3.SA,0.477293,12.98786178,18.5000
64,MRFG3.SA,0.463033,60.54451169,3.8500
65,CPLE6.SA,0.447271,7.51039294,29.9800
66,PRML3.SA,0.438042,225.01631662,0.9800
67,BISA3.SA,0.378677,186.89289017,1.0200
68,AMER3.SA,0.347128,12.94432335,13.5000
69,OIBR3.SA,0.317487,45.53476016,3.5100
70,MMXM3.SA,0.251881,189.25371302,0.6700
71,USIM3.SA,0.224755,9.76224431,11.5900
72,TESA3.SA,0.197312,29.82859713,3.3300
73,TRPL4.SA,0.188688,3.65901439,25.9600
