seq,ticker,ponderacao,acoes,preco
2,VALE3.SA,15.402817,376.87484890,75.1000
3,PETR4.SA,7.089944,456.64422480,28.5300
4,ITUB4.SA,5.945317,478.10771430,22.8500
5,BBDC4.SA,4.866977,516.05702900,17.3300
6,PETR3.SA,4.581889,270.63343820,31.1100
7,B3SA3.SA,3.646261,598.76253210,11.1900
8,ABEV3.SA,3.280009,438.01958410,13.7600
9,BBAS3.SA,2.562697,142.05309370,33.1500
10,ELET3.SA,2.459512,98.57042480,45.8500
11,JBSS3.SA,2.228096,129.07366730,31.7200
12,ITSA4.SA,2.144426,473.61406540,8.3200
13,WEGE3.SA,2.141382,148.48590300,26.5000
14,SUZB3.SA,1.995385,72.67792810,50.4500
15,RENT3.SA,1.718762,59.46703170,53.1100
16,BPAC11.SA,1.601621,130.16559960,22.6100
17,EQTL3.SA,1.383472,110.05134850,23.1000
18,HAPV3.SA,1.362439,445.46923820,5.6200
19,GGBR4.SA,1.330750,109.75344980,22.2800
20,LREN3.SA,1.229234,97.78215400,23.1000
21,RDOR3.SA,1.204940,77.20102600,28.6800
22,BBDC3.SA,1.189417,151.67265350,14.4100
23,CSAN3.SA,1.139491,117.10636980,17.8800
24,RADL3.SA,1.105152,107.10769050,18.9600
25,VIVT3.SA,1.071025,41.38908750,47.5500
26,RAIL3.SA,1.058194,121.60561030,15.9900
27,VBBR3.SA,1.040386,113.18833650,16.8900
28,ENEV3.SA,1.036072,125.74799780,15.1400
29,PRIO3.SA,1.009252,83.91591300,22.1000
30,BBSE3.SA,0.952140,67.16296920,26.0500
31,KLBN11.SA,0.893279,81.29943970,20.1900
32,HYPE3.SA,0.838796,41.02535280,37.5700
33,BRFS3.SA,0.836586,107.65126100,14.2800
34,CMIG4.SA,0.826107,144.84790600,10.4800
35,SBSP3.SA,0.795633,34.00019340,43.0000
36,CCRO3.SA,0.749244,111.56935560,12.3400
37,UGPA3.SA,0.717528,108.60678870,12.1400
38,TOTS3.SA,0.666245,51.98519550,23.5500
39,ASAI3.SA,0.631287,79.45313670,14.6000
40,ELET6.SA,0.614893,24.29871270,46.5000
41,NTCO3.SA,0.601125,83.49142210,13.2300
42,CPLE6.SA,0.593853,156.33655060,6.9800
43,TIMS3.SA,0.579993,80.86195320,13.1800
44,EGIE3.SA,0.577230,25.52173290,41.5600
45,SANB11.SA,0.572615,36.27033990,29.0100
46,ENGI11.SA,0.541568,24.84776890,40.0500
47,BRKM5.SA,0.538303,26.49757280,37.3300
48,CSNA3.SA,0.527192,64.23987900,15.0800
49,EMBR3.SA,0.473324,73.45882050,11.8400
50,TAEE11.SA,0.467220,21.85682340,39.2800
51,LCAM3.SA,0.422383,32.13852880,24.1500
52,AMER3.SA,0.413500,59.68758240,12.7300
53,RRRP3.SA,0.388086,20.03721630,35.5900
54,CRFB3.SA,0.365912,41.09885610,16.3600
55,GOAU4.SA,0.359105,69.82753210,9.4500
56,MGLU3.SA,0.346752,289.62346380,2.2000
57,BRML3.SA,0.346628,82.82738840,7.6900
58,BRAP4.SA,0.339163,25.14022490,24.7900
59,SULA11.SA,0.333938,28.31678540,21.6700
60,MULT3.SA,0.330075,27.27185480,22.2400
61,CPFE3.SA,0.326928,18.77325380,32.0000
62,FLRY3.SA,0.262010,30.33738820,15.8700
63,ENBR3.SA,0.260020,23.09314050,20.6900
64,CIEL3.SA,0.244747,114.43592280,3.9300
65,SOMA3.SA,0.243388,48.93164350,9.1400
66,USIM5.SA,0.239479,51.46806510,8.5500
67,MRFG3.SA,0.238405,34.82340110,12.5800
68,CMIN3.SA,0.232346,112.05933650,3.8100
69,SLCE3.SA,0.231360,9.62709460,44.1600
70,AZUL4.SA,0.222413,32.77411720,12.4700
71,ALPA4.SA,0.212917,20.12572200,19.4400
72,YDUQ3.SA,0.212502,30.08331220,12.9800
73,COGN3.SA,0.204942,182.81066760,2.0600
74,BEEF3.SA,0.195002,26.04097100,13.7600
75,CYRE3.SA,0.184517,28.16092830,12.0400
76,PETZ3.SA,0.179644,33.61545890,9.8200
77,IGTI11.SA,0.178492,18.00139800,18.2200
78,QUAL3.SA,0.170660,27.70270770,11.3200
79,VIIA3.SA,0.164187,159.62957530,1.8900
80,DXCO3.SA,0.157549,29.57128710,9.7900
81,IRBR3.SA,0.147557,125.52865310,2.1600
82,PCAR3.SA,0.142722,15.69464740,16.7100
83,MRVE3.SA,0.132769,29.46472340,8.2800
84,LWSA3.SA,0.130190,41.89652640,5.7100
85,BPAN4.SA,0.115283,34.11240680,6.2100
86,ECOR3.SA,0.106523,33.92379140,5.7700
87,JHSF3.SA,0.093729,30.59151420,5.6300
88,CVCB3.SA,0.085298,22.42314290,6.9900
89,GOLL4.SA,0.083568,16.70952140,9.1900
90,EZTC3.SA,0.080353,10.16182360,14.5300
91,CASH3.SA,0.032814,54.81537250,1.1000
92,POSI3.SA,0.023065,7.80537230,5.4300
