seq,ticker,ponderacao,acoes,preco
2,VALE3.SA,14.177700,306.71799820,60.4000
3,ITUB4.SA,10.529146,315.41177950,43.6200
4,BBDC4.SA,7.006134,322.92063470,28.3500
5,PETR4.SA,6.862967,427.03457390,21.0000
6,ABEV3.SA,6.131895,434.75019200,18.4300
7,PETR3.SA,5.012477,270.87347210,24.1800
8,B3SA3.SA,3.586923,204.22542520,22.9500
9,ITSA4.SA,3.407363,445.68022940,9.9900
10,BBAS3.SA,2.874641,133.15300170,28.2100
11,SUZB3.SA,1.728176,47.04539820,48.0000
12,LREN3.SA,1.680204,70.73115120,31.0400
13,UGPA3.SA,1.542871,54.04944190,37.3000
14,BBDC3.SA,1.490948,76.28024250,25.5400
15,BRFS3.SA,1.357607,81.11395450,21.8700
16,FIBR3.SA,1.328262,22.90639570,75.7700
17,COGN3.SA,1.274032,147.32361100,11.3000
18,RAIL3.SA,1.267355,111.51727110,14.8500
19,GGBR4.SA,1.261191,98.79963500,16.6800
20,VIVT4.SA,1.232672,41.51318680,38.8000
21,BBSE3.SA,1.226824,67.15841120,23.8700
22,RADL3.SA,1.152559,21.12244690,71.3000
23,BRKM5.SA,1.149909,26.45363980,56.8000
24,JBSS3.SA,1.139845,160.32475930,9.2900
25,WEGE3.SA,1.104432,74.04532830,19.4900
26,EMBR3.SA,1.079750,73.36929160,19.2300
27,CIEL3.SA,1.040803,111.93415180,12.1500
28,PCAR4.SA,1.007839,15.53895790,84.7500
29,SANB11.SA,0.998427,37.21128870,35.0600
30,KLBN11.SA,0.888765,59.10098620,19.6500
31,EQTL3.SA,0.864275,19.81634640,56.9900
32,HYPE3.SA,0.858211,39.69592880,28.2500
33,RENT3.SA,0.840798,50.25877360,21.8600
34,LAME4.SA,0.811632,68.42235470,15.5000
35,CCRO3.SA,0.727470,111.56955560,8.5200
36,TIMS3.SA,0.717041,80.77116600,11.6000
37,BRAP4.SA,0.640238,22.21425880,37.6600
38,MGLU3.SA,0.634392,6.75976000,122.6300
39,BRML3.SA,0.623627,84.79532690,9.6100
40,YDUQ3.SA,0.573193,30.64572270,24.4400
41,EGIE3.SA,0.551023,20.38542310,35.3200
42,SBSP3.SA,0.545246,30.53851230,23.3300
43,CMIG4.SA,0.520228,96.97191620,7.0100
44,FLRY3.SA,0.498611,30.95141100,21.0500
45,CVCB3.SA,0.477176,14.55456320,42.8400
46,CSNA3.SA,0.448984,63.01610540,9.3100
47,CSAN3.SA,0.378531,15.57856930,31.7500
48,MULT3.SA,0.376244,26.74822470,18.3800
49,NATU3.SA,0.363286,17.23674790,27.5400
50,AMER3.SA,0.352176,16.66122830,27.6200
51,GOAU4.SA,0.339466,56.86846050,7.8000
52,TAEE11.SA,0.330023,21.85682800,19.7300
53,USIM5.SA,0.315006,51.32328010,8.0200
54,ELET6.SA,0.307470,22.59647660,17.7800
55,ELET3.SA,0.306468,26.96678400,14.8500
56,ENBR3.SA,0.285695,29.53429820,12.6400
57,MRVE3.SA,0.270430,29.20378540,12.1000
58,QUAL3.SA,0.214280,24.05467710,11.6400
59,CYRE3.SA,0.205652,25.51964890,10.5300
60,IGTA3.SA,0.204840,8.67058350,30.8700
61,SMLS3.SA,0.204549,5.86914280,45.5400
62,CPLE6.SA,0.162882,10.10136620,21.0700
63,MRFG3.SA,0.160269,40.27317800,5.2000
64,VVAR11.SA,0.134671,13.85604920,12.7000
65,GOLL4.SA,0.108084,13.31117450,10.6100
66,ECOR3.SA,0.106117,19.50237620,7.1100
